timestamp,center_u,center_v,raw_depth_m,filtered_depth_m,mode
1778398537.589,320,310,0.415000,0.415000,fixed_roi
1778398664.279,320,310,0.396000,0.396000,fixed_roi
1778398664.780,320,310,0.396000,0.394000,fixed_roi
1778398665.314,320,310,0.406000,0.403000,fixed_roi
1778398665.847,320,310,0.407000,0.408000,fixed_roi
1778398666.348,320,310,0.400000,0.401000,fixed_roi
1778398666.882,320,310,0.399000,0.396000,fixed_roi
1778398667.415,320,310,0.403000,0.403000,fixed_roi
1778398667.949,320,310,0.404000,0.403000,fixed_roi
1778398668.449,320,310,0.408000,0.408000,fixed_roi
1778398668.983,320,310,0.397000,0.395000,fixed_roi
1778398669.484,320,310,0.407000,0.407000,fixed_roi
1778398670.017,320,310,0.352000,0.352000,fixed_roi
1778398670.551,320,310,0.366000,0.366000,fixed_roi
1778398671.084,320,310,0.409000,0.409000,fixed_roi
1778398671.585,320,310,0.409000,0.409000,fixed_roi
1778398672.119,320,310,0.409000,0.408000,fixed_roi
1778398672.619,320,310,0.409000,0.409000,fixed_roi
1778398673.153,320,310,0.407000,0.408000,fixed_roi
1778398673.686,320,310,0.409000,0.408000,fixed_roi
1778398674.187,320,310,0.409000,0.408000,fixed_roi
1778398674.720,320,310,0.409000,0.409000,fixed_roi
1778398675.220,320,310,0.408000,0.409000,fixed_roi
1778398675.721,320,310,0.407000,0.407000,fixed_roi
1778398676.222,320,310,0.408000,0.408000,fixed_roi
1778398676.755,320,310,0.409000,0.409000,fixed_roi
1778398677.289,320,310,0.410000,0.409000,fixed_roi
1778398677.822,320,310,0.409000,0.409000,fixed_roi
1778398678.323,320,310,0.408000,0.408000,fixed_roi
1778398678.856,320,310,0.409000,0.409000,fixed_roi
1778398679.390,320,310,0.407000,0.409000,fixed_roi
1778398679.891,320,310,0.409000,0.408000,fixed_roi
1778398680.424,320,310,0.406000,0.407000,fixed_roi
1778398680.958,320,310,0.408000,0.408000,fixed_roi
1778398681.491,320,310,0.407000,0.407000,fixed_roi
1778398681.992,320,310,0.409000,0.407000,fixed_roi
1778398682.526,320,310,0.408000,0.408000,fixed_roi
1778398683.026,320,310,0.409000,0.408000,fixed_roi
1778398683.560,320,310,0.410000,0.409000,fixed_roi
1778398684.093,320,310,0.408000,0.408000,fixed_roi
1778398684.628,320,310,0.407000,0.407000,fixed_roi
1778398685.161,320,310,0.408000,0.407000,fixed_roi
1778398685.661,320,310,0.406000,0.406000,fixed_roi
1778398686.162,320,310,0.407000,0.408000,fixed_roi
1778398686.663,320,310,0.409000,0.407000,fixed_roi
1778398687.195,320,310,0.405000,0.408000,fixed_roi
1778398687.696,320,310,0.406000,0.407000,fixed_roi
1778398688.196,320,310,0.403000,0.406000,fixed_roi
1778398688.730,320,310,0.409000,0.409000,fixed_roi
1778398689.231,320,310,0.409000,0.409000,fixed_roi
1778398689.764,320,310,0.405000,0.408000,fixed_roi
1778398690.298,320,310,0.407000,0.408000,fixed_roi
1778398690.799,320,310,0.402000,0.406000,fixed_roi
1778398691.332,320,310,0.408000,0.407000,fixed_roi
1778398691.866,320,310,0.409000,0.408000,fixed_roi
1778398692.366,320,310,0.402000,0.406000,fixed_roi
1778398692.900,320,310,0.405000,0.406000,fixed_roi
1778398693.401,320,310,0.408000,0.408000,fixed_roi
1778398693.934,320,310,0.410000,0.408000,fixed_roi
1778398694.468,320,310,0.406000,0.405000,fixed_roi
1778398695.001,320,310,0.409000,0.409000,fixed_roi
1778398695.502,320,310,0.407000,0.404000,fixed_roi
1778398696.036,320,310,0.404000,0.406000,fixed_roi
1778398696.569,320,310,0.409000,0.409000,fixed_roi
1778398697.070,320,310,0.408000,0.408000,fixed_roi
1778398697.603,320,310,0.409000,0.408000,fixed_roi
1778398698.137,320,310,0.406000,0.406000,fixed_roi
1778398698.638,320,310,0.407000,0.407000,fixed_roi
1778398699.171,320,310,0.407000,0.406000,fixed_roi
1778398699.705,320,310,0.408000,0.408000,fixed_roi
1778398700.205,320,310,0.407000,0.407500,fixed_roi
1778398700.739,320,310,0.406000,0.407000,fixed_roi
1778398701.272,320,310,0.409000,0.407000,fixed_roi
1778398701.806,320,310,0.407000,0.407000,fixed_roi
1778398702.340,320,310,0.406000,0.408000,fixed_roi
1778398702.840,320,310,0.408000,0.407000,fixed_roi
1778398703.341,320,310,0.408000,0.408000,fixed_roi
1778398703.879,320,310,0.409000,0.409000,fixed_roi
1778398704.408,320,310,0.407000,0.407000,fixed_roi
1778398704.942,320,310,0.407000,0.407000,fixed_roi
1778398705.442,320,310,0.412000,0.408000,fixed_roi
1778398705.976,320,310,0.410000,0.410000,fixed_roi
1778398706.510,320,310,0.409000,0.409000,fixed_roi
1778398707.043,320,310,0.410000,0.408000,fixed_roi
1778398707.544,320,310,0.408000,0.406000,fixed_roi
1778398708.077,320,310,0.405000,0.405000,fixed_roi
1778398708.611,320,310,0.406000,0.407000,fixed_roi
1778398709.112,320,310,0.407000,0.408000,fixed_roi
1778398709.645,320,310,0.406000,0.406000,fixed_roi
1778398710.179,320,310,0.409000,0.407000,fixed_roi
1778398711.213,320,310,0.402000,0.406000,fixed_roi
1778398711.746,320,310,0.410000,0.405000,fixed_roi
1778398712.280,320,310,0.405000,0.405000,fixed_roi
1778398712.814,320,310,0.407000,0.406000,fixed_roi
1778398713.314,320,310,0.406000,0.407000,fixed_roi
1778398713.848,320,310,0.407000,0.407000,fixed_roi
1778398714.349,320,310,0.408000,0.408000,fixed_roi
1778398714.882,320,310,0.406000,0.406000,fixed_roi
1778398715.416,320,310,0.406000,0.406000,fixed_roi
1778398715.949,320,310,0.407500,0.407000,fixed_roi
1778398716.450,320,310,0.407000,0.407000,fixed_roi
1778398716.983,320,310,0.407000,0.407000,fixed_roi
1778398717.484,320,310,0.409000,0.408000,fixed_roi
1778398718.018,320,310,0.409000,0.409000,fixed_roi
1778398718.518,320,310,0.407000,0.406000,fixed_roi
1778398719.051,320,310,0.406000,0.406000,fixed_roi
1778398719.552,320,310,0.409000,0.407000,fixed_roi
1778398720.052,320,310,0.406000,0.408000,fixed_roi
1778398720.553,320,310,0.405000,0.406000,fixed_roi
1778398721.055,320,310,0.405000,0.405000,fixed_roi
1778398721.586,320,310,0.407000,0.407000,fixed_roi
1778398722.087,320,310,0.408000,0.408000,fixed_roi
1778398722.587,320,310,0.410000,0.408000,fixed_roi
1778398723.121,320,310,0.408500,0.409000,fixed_roi
1778398723.622,320,310,0.408000,0.408000,fixed_roi
1778398724.155,320,310,0.407000,0.408000,fixed_roi
1778398724.656,320,310,0.408000,0.408000,fixed_roi
1778398725.189,320,310,0.409000,0.408000,fixed_roi
1778398725.690,320,310,0.408000,0.409000,fixed_roi
1778398726.224,320,310,0.409000,0.409000,fixed_roi
1778398726.757,320,310,0.411000,0.411000,fixed_roi
1778398727.291,320,310,0.402000,0.406000,fixed_roi
1778398727.824,320,310,0.407000,0.407000,fixed_roi
1778398728.325,320,310,0.403000,0.408000,fixed_roi
1778398728.826,320,310,0.409000,0.409000,fixed_roi
1778398735.497,320,310,0.411000,0.411000,fixed_roi
1778398736.030,320,310,0.410000,0.410000,fixed_roi
1778398740.667,320,310,0.410000,0.410000,fixed_roi
1778398744.837,320,310,0.409000,0.409000,fixed_roi
1778398745.370,320,310,0.405000,0.410000,fixed_roi
1778398748.506,320,310,0.409000,0.407000,fixed_roi
1778398749.040,320,310,0.408000,0.408000,fixed_roi
1778398749.540,320,310,0.408000,0.409000,fixed_roi
1778398750.607,320,310,0.410000,0.409000,fixed_roi
1778398751.141,320,310,0.407000,0.408500,fixed_roi
1778398756.278,320,310,0.410000,0.408000,fixed_roi
1778398756.812,320,310,0.409000,0.410000,fixed_roi
1778398757.345,320,310,0.412000,0.411000,fixed_roi
1778398758.880,320,310,0.410000,0.410000,fixed_roi
1778398761.448,320,310,0.411000,0.411000,fixed_roi
1778398922.709,320,310,0.410000,0.411000,fixed_roi
